state,district,pvi
AL,1,12
AL,2,5
AL,3,15
AL,4,27
AL,5,15
AL,6,16
AL,7,-8
AR,1,17
AR,2,5
AR,3,16
AR,4,20
AZ,1,3
AZ,2,12
AZ,3,-15
AZ,4,3
AZ,5,0
AZ,6,6
AZ,7,-10
AZ,8,0
AZ,9,11
CA,1,6
CA,2,-3
CA,3,3
CA,4,-28
CA,5,-3
CA,6,-10
CA,7,-18
CA,8,-18
CA,9,-8
CA,10,-25
CA,11,-39
CA,12,-37
CA,13,1
CA,14,-25
CA,15,-34
CA,16,-26
CA,17,-31
CA,18,-25
CA,19,-25
CA,20,3
CA,21,-4
CA,22,5
CA,23,5
CA,24,-12
CA,25,-9
CA,26,-10
CA,27,-4
CA,28,-28
CA,29,-24
CA,30,-24
CA,31,-15
CA,32,-21
CA,33,-15
CA,34,-33
CA,35,-8
CA,36,-25
CA,37,-40
CA,38,-17
CA,39,-13
CA,40,-3
CA,41,-4
CA,42,-33
CA,43,-39
CA,44,-19
CA,45,-11
CA,46,-8
CA,47,-1
CA,48,4
CA,49,-2
CA,50,-11
CA,51,-18
CA,52,-18
CO,1,-23
CO,2,-15
CO,3,4
CO,4,7
CO,5,10
CO,6,-1
CO,7,-17
CO,8,2
CT,1,-11
CT,2,-7
CT,3,-9
CT,4,-12
CT,5,0
FL,1,-9
FL,2,-23
FL,3,13
FL,4,-14
FL,5,-3
FL,6,-1
FL,7,13
FL,8,-20
FL,9,-13
FL,10,-8
FL,11,8
FL,12,19
FL,13,5
FL,14,0
FL,15,6
FL,16,18
FL,17,1
FL,18,0
FL,19,-14
FL,20,-10
FL,21,-2
FL,22,10
FL,23,8
FL,24,11
FL,25,13
FL,26,6
FL,27,-3
FL,28,12
GA,1,NaN
GA,2,NaN
GA,3,NaN
GA,4,NaN
GA,5,NaN
GA,6,NaN
GA,7,NaN
GA,8,NaN
GA,9,NaN
GA,10,NaN
GA,11,NaN
GA,12,NaN
GA,13,NaN
GA,14,NaN
HI,1,-15
HI,2,-22
IA,1,-3
IA,2,8
IA,3,-1
IA,4,16
ID,1,11
ID,2,22
IL,1,-42
IL,2,-9
IL,3,-23
IL,4,-25
IL,5,-33
IL,6,-8
IL,7,-33
IL,8,-9
IL,9,0
IL,10,-10
IL,11,-6
IL,12,5
IL,13,10
IL,14,-10
IL,15,8
IL,16,4
IL,17,2
IN,1,NaN
IN,2,NaN
IN,3,NaN
IN,4,NaN
IN,5,NaN
IN,6,NaN
IN,7,NaN
IN,8,NaN
IN,9,NaN
KS,1,21
KS,2,1
KS,3,0
KS,4,9
KY,1,19
KY,2,19
KY,3,-8
KY,4,11
KY,5,24
KY,6,6
LA,1,23
LA,2,-12
LA,3,18
LA,4,14
LA,5,14
LA,6,1
MA,1,-11
MA,2,-3
MA,3,-11
MA,4,-4
MA,5,-14
MA,6,-8
MA,7,-30
MA,8,-16
MA,9,-2
MD,1,9
MD,2,-5
MD,3,3
MD,4,-35
MD,5,-12
MD,6,-3
MD,7,-32
MD,8,-27
ME,1,-1
ME,2,9
MI,1,8
MI,2,7
MI,3,-2
MI,4,11
MI,5,-1
MI,6,-11
MI,7,2
MI,8,3
MI,9,-5
MI,10,2
MI,11,0
MI,12,-28
MI,13,-23
MN,1,1
MN,2,-3
MN,3,-6
MN,4,-8
MN,5,-33
MN,6,0
MN,7,11
MN,8,3
MO,1,-27
MO,2,5
MO,3,15
MO,4,16
MO,5,-8
MO,6,12
MO,7,22
MO,8,26
MS,1,15
MS,2,-9
MS,3,10
MS,4,19
MT,1,4
MT,2,10
NC,1,-4
NC,2,-16
NC,3,9
NC,4,-18
NC,5,2
NC,6,2
NC,7,8
NC,8,13
NC,9,-1
NC,10,17
NC,11,4
NC,12,-19
NC,13,0
NC,14,3
NE,1,NaN
NE,2,NaN
NE,3,NaN
NH,1,3
NH,2,-1
NJ,1,-1
NJ,2,9
NJ,3,-12
NJ,4,6
NJ,5,-8
NJ,6,-10
NJ,7,-17
NJ,8,-24
NJ,9,-18
NJ,10,-22
NJ,11,3
NJ,12,-7
NM,1,-14
NM,2,3
NM,3,-12
NV,1,-4
NV,2,7
NV,3,1
NV,4,-13
NY,1,-1
NY,2,-6
NY,3,-8
NY,4,-14
NY,5,-31
NY,6,-28
NY,7,-43
NY,8,-21
NY,9,-34
NY,10,-40
NY,11,-4
NY,12,-37
NY,13,-41
NY,14,-28
NY,15,-43
NY,16,-28
NY,17,-6
NY,18,-6
NY,19,-1
NY,20,2
NY,21,-7
NY,22,-4
NY,23,8
NY,24,1
NY,25,-10
NY,26,-12
OH,1,-5
OH,2,19
OH,3,-20
OH,4,15
OH,5,18
OH,6,7
OH,7,-2
OH,8,17
OH,9,1
OH,10,7
OH,11,-29
OH,12,13
OH,13,0
OH,14,5
OH,15,2
OK,1,16
OK,2,18
OK,3,26
OK,4,2
OK,5,17
OR,1,-10
OR,2,8
OR,3,-29
OR,4,1
OR,5,-6
OR,6,0
PA,1,-3
PA,2,-32
PA,3,-40
PA,4,-10
PA,5,-14
PA,6,-1
PA,7,-2
PA,8,3
PA,9,4
PA,10,7
PA,11,13
PA,12,-18
PA,13,17
PA,14,6
PA,15,13
PA,16,10
PA,17,4
RI,1,-17
RI,2,-9
SC,1,0
SC,2,-2
SC,3,14
SC,4,15
SC,5,12
SC,6,4
SC,7,6
TN,1,17
TN,2,-20
TN,3,19
TN,4,29
TN,5,24
TN,6,19
TN,7,-12
TN,8,20
TN,9,19
TX,1,28
TX,2,1
TX,3,14
TX,4,3
TX,5,0
TX,6,25
TX,7,-6
TX,8,23
TX,9,-25
TX,10,17
TX,11,16
TX,12,6
TX,13,30
TX,14,13
TX,15,-14
TX,16,-20
TX,17,25
TX,18,-13
TX,19,24
TX,20,-10
TX,21,-7
TX,22,-4
TX,23,-3
TX,24,18
TX,25,-4
TX,26,10
TX,27,13
TX,28,-1
TX,29,-1
TX,30,-16
TX,31,1
TX,32,-11
TX,33,-13
TX,34,-10
TX,35,0
TX,36,20
TX,37,-27
TX,38,6
UT,1,21
UT,2,28
UT,3,-4
UT,4,25
VA,1,1
VA,2,-3
VA,3,-16
VA,4,-12
VA,5,11
VA,6,2
VA,7,-7
VA,8,-28
VA,9,15
VA,10,-3
VA,11,-20
WA,1,-13
WA,2,-3
WA,3,4
WA,4,10
WA,5,6
WA,6,-3
WA,7,-32
WA,8,-5
WA,9,-14
WA,10,-5
WI,1,4
WI,2,-22
WI,3,-1
WI,4,-25
WI,5,14
WI,6,8
WI,7,6
WI,8,6
WV,1,21
WV,2,19
