ID,Total Pop,Deviation,Dem,Rep,Oth,Total VAP,White,Minority,Hispanic,Black,Asian,Native,Pacific
"Un",0,0,0,0,0,0,0,0,0,0,0,0,0,
"1",770839,0.0004,0.4555,0.5285,0.016,600776,0.77,0.23,0.1155,0.0284,0.0393,0.0381,0.009,
"2",767977,-0.0033,0.3947,0.5924,0.0129,564768,0.6109,0.3891,0.3045,0.014,0.0261,0.048,0.004,
"3",772355,0.0024,0.4999,0.4843,0.0158,614380,0.7854,0.2146,0.0937,0.0176,0.0438,0.0497,0.0067,
"4",771108,0.0008,0.6308,0.3514,0.0178,598314,0.6404,0.3596,0.0976,0.0504,0.172,0.0319,0.0107,
"5",770885,0.0005,0.6049,0.3789,0.0162,580852,0.5897,0.4103,0.0918,0.0567,0.226,0.0271,0.0136,
"6",768540,-0.0026,0.8294,0.1576,0.013,648538,0.6219,0.3781,0.0705,0.0465,0.2365,0.0191,0.0057,
"7",769955,-0.0007,0.7501,0.2371,0.0129,613801,0.5064,0.4936,0.1232,0.1351,0.1978,0.0329,0.021,
"8",769492,-0.0013,0.4941,0.4882,0.0177,586841,0.6611,0.3389,0.1022,0.0895,0.0964,0.0376,0.0262,
"9",772638,0.0027,0.5554,0.4263,0.0183,623240,0.7654,0.2346,0.0732,0.035,0.065,0.0505,0.0137,
"10",771492,0.0013,0.4652,0.5199,0.0149,593179,0.7816,0.2184,0.0895,0.0259,0.0516,0.039,0.012,
"",770528,0.006,0.5726,0.4118,0.0156,602469,0.6736,0.3264,0.1146,0.05,0.1165,0.0373,0.0122,
